,Time,Miliseconds,Battery,Light,Temperature,Humidity,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,PM 1.0,PM 2.5,PM 10.0
209,0,744,7,505,23.98,39.95,48.03,100.93,none,none,none,none,none
210,0,745,7,505,23.98,40.06,49.96,100.93,none,none,none,none,none
211,0,744,6,505,23.97,40.21,48.07,100.93,none,none,none,none,none
212,0,745,7,505,24.0,40.29,48.95,100.92,none,none,none,none,none
213,0,744,7,505,23.98,40.42,47.95,100.93,none,none,none,none,none
214,0,744,7,505,24.0,40.51,48.83,100.93,none,none,none,none,none
215,0,745,7,501,23.97,40.53,48.68,100.93,none,none,none,none,none
216,0,744,6,502,24.0,40.49,48.06,100.93,none,none,none,none,none
217,0,745,7,501,23.96,40.44,49.72,100.93,none,none,none,none,none
218,0,744,7,503,24.0,40.33,48.29,100.92,none,none,none,none,none
219,0,744,7,503,24.0,40.29,49.57,100.92,none,none,none,none,none
220,0,745,7,503,24.0,40.17,47.8,100.92,none,none,none,none,none
221,0,743,7,503,24.0,40.13,49.44,100.93,none,none,3,3,3
222,0,1548,7,503,23.98,39.92,48.27,100.92,none,none,3,3,3
223,0,744,7,503,24.0,39.79,49.32,100.93,none,none,3,3,3
224,0,745,7,503,23.97,39.67,48.31,100.92,none,none,3,3,3
225,0,745,7,502,23.98,39.67,48.47,100.93,none,none,3,3,3
226,0,743,7,503,24.03,39.7,48.88,100.92,none,none,3,3,3
227,0,744,7,502,24.0,39.64,48.9,100.93,none,none,3,3,3
228,0,744,7,502,24.01,39.64,47.0,100.93,none,none,3,3,3
229,0,745,7,502,23.97,39.74,49.14,100.92,none,none,3,3,3
230,0,745,7,502,24.0,39.77,48.51,100.93,none,none,3,3,3
231,0,743,7,502,24.03,39.81,48.71,100.93,none,none,3,3,3
232,0,744,7,502,24.03,39.83,50.0,100.93,none,none,3,3,3
233,0,744,7,502,24.01,39.84,47.43,100.93,none,none,3,3,3
234,0,745,7,501,24.0,39.8,50.38,100.93,none,none,3,3,3
235,0,744,7,502,24.01,39.83,48.2,100.93,none,none,3,3,3
236,0,744,7,502,24.03,39.76,49.32,100.93,none,none,3,3,3
237,0,743,7,501,23.98,39.74,50.22,100.93,none,none,3,3,3
238,0,743,7,502,23.98,39.71,47.23,100.93,none,none,3,3,3
239,0,745,7,501,24.01,39.64,49.42,100.92,none,none,3,3,3
240,0,744,7,502,23.98,39.57,47.65,100.93,none,none,3,3,3
241,0,744,7,501,24.0,39.63,49.94,100.92,none,none,none,none,none
242,0,3206,7,501,23.98,39.58,47.83,100.92,none,none,none,none,none
243,0,744,7,501,23.96,39.58,50.13,100.93,none,none,none,none,none
244,0,745,7,501,23.96,39.53,48.26,100.92,none,none,none,none,none
245,0,744,7,501,23.97,39.5,49.33,100.92,none,none,none,none,none
246,0,745,7,501,23.98,39.67,48.39,100.92,none,none,none,none,none
247,0,744,7,501,23.97,39.88,50.28,100.93,none,none,none,none,none
248,0,744,7,501,23.97,39.98,48.44,100.93,none,none,none,none,none
249,0,743,7,501,23.97,39.83,48.1,100.93,none,none,none,none,none
250,0,745,7,501,23.96,39.89,49.84,100.93,none,none,none,none,none
251,0,743,7,501,23.97,39.75,47.81,100.93,none,none,none,none,none
252,0,745,7,501,23.97,39.69,48.12,100.92,none,none,none,none,none
253,0,744,7,501,23.97,39.65,48.1,100.92,none,none,none,none,none
254,0,745,7,501,23.94,39.62,48.66,100.92,none,none,none,none,none
255,0,743,7,500,23.97,39.53,48.89,100.93,none,none,none,none,none
256,0,745,7,501,23.96,39.47,47.3,100.93,none,none,none,none,none
257,0,744,7,500,23.93,39.46,50.18,100.92,none,none,none,none,none
258,0,745,7,501,23.96,39.43,48.99,100.92,none,none,none,none,none
259,0,744,7,500,23.93,39.47,49.72,100.93,none,none,none,none,none
260,0,744,7,500,23.94,39.44,48.46,100.93,none,none,none,none,none
261,0,744,7,500,23.93,39.4,49.21,100.92,none,none,1,1,1
262,0,1383,7,501,23.94,39.45,48.47,100.93,none,none,1,1,1
263,0,744,7,501,23.93,39.48,47.7,100.93,none,none,1,1,1
264,0,745,7,500,23.93,39.51,49.49,100.93,none,none,1,1,1
265,0,744,7,500,23.94,39.44,49.59,100.93,none,none,1,1,1
266,0,744,7,500,23.94,39.46,48.3,100.93,none,none,1,1,1
267,0,744,7,500,23.94,39.47,48.86,100.93,none,none,1,1,1
268,0,744,7,501,23.94,39.52,48.47,100.92,none,none,1,1,1
269,0,745,7,500,23.93,39.5,49.6,100.93,none,none,1,1,1
